name,country,pyram
Emilio Matanguihan,Australia,979
Garrett Molinari,USA,979
Yuetong Zhu (朱玥曈),China,979
Leonard Griebel,Germany,979
Mikas Motiejuitis,Lithuania,978
Dylan Johnston,Australia,978
Zihang Wang (王子杭),China,978
Emmanuel Rajapandian,India,978
Yun-Rong Chiang (江昀容),Taiwan,978
Timur Imanov,Russia,978
Conor Sullivan,Australia,978
Nikita Burmistrov (Никита Бурмистров),Russia,977
Joshua Hingert,United Kingdom,977
Jin-Han Guo (郭景翰),Taiwan,977
Andrzej Jędrzejak,Poland,977
Mateusz Kotwica,Poland,977
Frederik Aasholm Christensen,Denmark,977
Nate Mochrie,New Zealand,977
Ricardo Olea Catalán,Germany,977
Alex Burns,United Kingdom,977
Sebastian Bock,Australia,977
Miller Atkinson,Australia,977
Oskar Dinnendahl,Australia,977
Jay Calter,Australia,977
Zheng Chen (陈政),China,977
Jinlin Jiang (江锦林),China,976
Rhys Rogan,Australia,976
Stefano Coulter,Canada,976
Robert Yau,United Kingdom,976
Weikang Zheng (郑炜康),China,976
Timo Günthardt,Switzerland,975
Mustafa Demir Soytürk,Turkey,975
Aarav Gaddam,USA,975
Giovanni Centili,Italy,975
Stanley Chapel,USA,975
Samuel Low,USA,974
Kajetan Opach,Poland,974
Nicolás Irenco Peña Henríquez,Chile,974
Dong Xia (夏东),China,974
Jack Samuel Masciulli,Australia,974
William Barlow,New Zealand,974
Jeann Valdez,Australia,974
Tom Richards,Australia,973
Ryan Bernardo,USA,973
Zack Hall,Australia,973
Mitchell Hum,USA,973
Richard Madden,Ireland,973
Magne Njå,Norway,973
Yutong Liu (刘昱彤),China,973
Tyler Robinson,USA,973
Kanting Shi (史勘霆),China,973
En-Tzu Lin (林恩慈),Taiwan,973
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,972
Anders Berggren,Sweden,972
Angus Henkel,Australia,972
Mattias Uvesten,Sweden,972
Ziyue Wu (吴子玥),China,972
Cedric Meysing,Germany,972
Anton Uskov (Антон Усков),Russia,972
Dennis Rosero,Colombia,972
Lucas Vojkovic,Australia,971
Alex Van Vugt,Australia,971
Yinhao Ding,Australia,971
Evgeniy Mazhara,Russia,971
Manuel Prieto de Antón,Spain,971
Olivera Radovanović,Serbia,971
Sam Ellis,Australia,971
Wanling He (何婉灵),China,971
Christian Manuel de Lange,New Zealand,971
Kai Ma (马开),China,971
Hao Do,Australia,971
Zhaohong Huang (黄兆鸿),China,971
James MacDonald,Australia,971
Gergely Novotni,Hungary,970
Maksymilian Kulas,Poland,970
Renchinnorov Burenzevseg (Бүрэнзэвсэг Ренчинноров),Mongolia,970
Ethan Basanov,Canada,970
Moritz Claußen,Germany,969
Joey Cavanagh,Australia,969
Yihui Han (韩译慧),China,969
Matthew Sieredzinski,Australia,969
Dmitry Kryuzban,Russia,969
Freddy Brighton,New Zealand,969
Daniel Porter,USA,969
Gotti Axel,France,968
Marco Manno,Italy,968
Yunke Zhang (张云柯),China,968
Aaryn Chieng,Australia,968
Hudson Moore,USA,968
Kyle Meade,USA,968
Semen Artyukhov,Russia,968
Walker Welch,USA,968
Kacper Szeląg,Poland,967
Vitor Jose Shen (沈偉棟),Macau,967
Anael Champion,France,967
Xujia Lei (雷旭嘉),China,967
Justin Barker,USA,967
Tianle Cai (蔡天乐),China,967
Flynn Otto,Australia,966
Cheng-Ru Yang,New Zealand,966
Đào Bách Nguyên,Vietnam,966
Cormac Farrell,United Kingdom,966
Nicolas Gertner,France,966
Charlie Eggins,Australia,966
Hannes Dejke,Sweden,966
Leonard Wetzel,Germany,966
Fedor Tarasov,Russia,965
Noah Paredes,USA,965
Jack Amarbat,New Zealand,964
Aadarsh Madhavan,India,964
Mannessah Kani,Australia,964
Boris Monakhov,Russia,963
Liam Uno Timour-Silveira,Norway,963
Andrey Mozgovoy (Андрей Мозговой),Russia,963
Nikita Malykhin (Никита Малыхин),Russia,963
Zee Capangpangan,Philippines,963
Jan Zych,Poland,963
Mateusz Szulik,Poland,963
Dominic Amrhein,Germany,963
Thomas Clemens,Germany,963
Varun Mohanraj,USA,963
Lucas Comer,Australia,962
Levi Benjamin Matara-Ng,Australia,962
Isaac Dalton,Australia,962
Cheng-Han Chu (朱政翰),Taiwan,962
Serdar Özdemir,Turkey,962
Aquila Janoschka,Australia,962
