Cameron Soulagnet,USA,791
Maximiliano Perez Madrid,Chile,790
Sebastian Weyer,Germany,790
Sean Belke,USA,790
Adrien Neveu,France,790
Viktor From,Sweden,789
Olivier Vos,Netherlands,789
Bryan Eng,Australia,786
Brandon Nunez,USA,786
Christian König,Germany,786
Dmitry Matthew Yaquinto,Russia,786
Jakub Grzybowski,Poland,786
Mitchel Cruickshank,Canada,785
Daniel Fraser,New Zealand,785
Fabian Emiliano Escareño Gonzalez,Mexico,784
Will Gurnett,Australia,784
Aasmund Gabestad Nørsett,Norway,783
Dominik Zamęcki,Poland,783
Maxwell Bryn,USA,782
Jonathan Pang,Australia,782
Kevin Matthews,Canada,781
Mitchell Lane,USA,781
Hugo Kinichi Briner,Australia,780
Jason Lee,USA,780
Sam Jacklin,United Kingdom,780
Pavel Eroshkin (Павел Ерошкин),Russia,780
Chunxiao Li (李春啸),China,780
Wuouran Liu (刘巫偶然),China,779
Claudio Matias Cancino Bruna,Chile,779
Luke Heath-Edwards,New Zealand,777
Dylan Hughlett,USA,777
Juewei Hu (胡珏伟),China,777
Francisco Hamlin,Argentina,777
Piotr Olszewski,Poland,777
Imran Mehedi Nabil,Bangladesh,777
Preston Duke,USA,777
Vincenzo Maria Gammino,Italy,776
Łukasz Pawłowski,Poland,776
Tom Nelson,New Zealand,776
Dana Yi,USA,776
Ethan Davis,USA,775
Miguel Ángel Hernández,Panama,775
Yusheng Du (杜宇生),China,775
Jinyao Chen (陈今尧),China,774
Jerzy Chmiel,Poland,774
Zhiyuan Ma (马之元),China,773
Steven Kearns,United Kingdom,773
Cedric Meysing,Germany,772
Gabriel Santiago Velez Gonzalez,Colombia,772
Lim Hung (林弘),Malaysia,771
Miguel Reyes,Mexico,771
Alex Taylor,New Zealand,770
Caleb Hall,New Zealand,770
Maksim Kuchuk (Максим Кучук),Russia,769
Duo Zheng (郑铎),China,769
Gabriel Marczak,Poland,768
Knut Skaug Haraldsen,Norway,768
Ng Jia Quan (黄佳铨),Malaysia,768
Liam Wadek,New Zealand,768
Daniel Sheppard,United Kingdom,768
Evan Moser,Canada,768
Ryan Wu,Canada,768
Louis Cormier,Canada,767
Martin Duran Tapia,Chile,767
Niklas Aasen Eliasson,Norway,767
Sergey Shitov,Russia,766
Elijah Franklin,USA,766
Xinyun Chen (陈新运),China,766
William Tao,Australia,766
Luke Tycksen,USA,766
