name,country,444bf
Daniel Mullen,USA,596
Jae Park,USA,596
Ahmad Naufal Hakim,Indonesia,596
Manuel Gutman,Argentina,595
Angel Torres Perez,Mexico,595
Miles Lipka,USA,593
Komal Gupta,India,593
Hyun-Kyoo Rah (나현규),Korea,593
Elliott Kobelansky,Canada,593
Joel Brown Brisola,Brazil,593
Simone Ohler,Germany,593
Lars Vennike Nielsson,Denmark,593
Ethan Davis,USA,593
Vladimir Sergeev,Russia,591
Manu Vereecken,Belgium,590
Harsh Maheshwari,India,590
Zayd Chaudhry,Australia,590
Masato Fujiwara (藤原正人),Japan,589
Li-Wei Wu (吳立偉),Taiwan,588
Emile Compion,South Africa,588
Leon Tran,Australia,586
Kai Roff,United Kingdom,586
Clément Cherblanc,France,585
Nikita Ovsyannikov (Никита Овсянников),Russia,585
Alaik Bhatia,India,584
Nicholas Patterson,Canada,584
Tommy Cherry,USA,584
Qingze Li (李庆泽),China,583
Michał Mlostek,Poland,583
Guilherme Santana Campos,Brazil,583
Jorge Augusto Siqueira Pinto,Brazil,583
Luca Stalpers,Netherlands,581
Fryderyk Janiak,Poland,581
Carson Claud,USA,581
AJ Kamal,USA,581
Enoch Gray,USA,581
Mats Bergsten,Sweden,581
Kacper Rafalski,Poland,580
Korakot Inkaew (กรกฎ อิ่นแก้ว),Thailand,580
Ethan Pan,New Zealand,580
Nikhil Soares,India,579
Pauline Clémenceau,France,579
Gabriel Coates,USA,579
Oliver Grace,Ireland,579
Andrii Moisol (Андрій Мойсол),Ukraine,579
Fernando Israel Zúñiga Macedo,Mexico,578
Wenxuan Yue (岳文轩),China,578
Simon Busko,Germany,577
Kate Grahame,USA,577
Oleksandr Ivanchak (Олександр Іванчак),Ukraine,576
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,576
Kristian Gil Caragan,Philippines,576
Ron Libman,Israel,576
Enzo Mattos,Brazil,575
Vianne Chang,Canada,574
Eero Laasonen,Finland,573
Kamil Łukaszewski,Poland,573
Oliver Castledine,United Kingdom,572
Yoshio Matsumoto (松本嘉夫),Japan,571
Matthew Vazquez,USA,571
Josh Weimer,USA,571
Myles Jarman,Australia,569
Peter Weyers,USA,568
Wayne Pi,Taiwan,568
Hill Pong Yong Feng,Malaysia,568
Jolo Endona,Philippines,568
Zhe Wang (王哲),China,568
Victor Tang Yao Jun (湯曜駿),Hong Kong,568
Wesley Miller,USA,567
Pascal Ordano,Argentina,567
Daniel Alejandro Torres Moreno,Colombia,567
Mark Rivers,United Kingdom,567
Parth Garg,USA,567
Cole Campbell,New Zealand,567
Tam Quan,Australia,566
Braden Richards,USA,566
Reuben San Luis,USA,565
Daniel Hermansson,Sweden,565
Daniel Atlas,Israel,565
Samuel Moliver,Australia,564
Chenhao Sun (孙晨皓),China,563
Jacob Shum,Canada,563
Paul Mahvi,USA,561
Hrithik Solanki,India,561
Krzysztof Bober,Poland,560
Adel Mosallami,Philippines,560
Darren Siew Ee Yaang (蕭奕暘),Malaysia,559
Pedro Luiz Ferreira Pires,Brazil,559
Cameron Asato,USA,559
Simon Westlund,Sweden,559
Liam Highducheck,Australia,558
Max Xiong (熊锐明),China,558
Jose Polorhenzo Aquino,Philippines,558
Matthew Sieredzinski,Australia,558
Yifan Wang (王逸帆),China,557
Shantanu Modak,Singapore,557
Richard-Mattias Prints,Estonia,556
Valentin Lanz,Switzerland,556
Brett Barry,USA,556
Gintaras Grėbliūnas,Lithuania,555
Jared Stinson,USA,555
Dawid Wójcik,Poland,555
Assylkhan Meirkhanov (Асылхан Мейрханов),Kazakhstan,555
Emilio Alberto Rodríguez Jiménez,Mexico,554
Kalyani H. Kiran,India,554
Hayden C. Lesser,USA,553
Brandon Harnish,USA,553
Liam Chen,USA,553
Alikhan Yertursyn (Алихан Ертурсын),Kazakhstan,553
Martin Maréchal,France,553
Kim Min (김민),Korea,553
Joshua Graham,Canada,552
Jeremy Benik,USA,552
Quinn McGagin,USA,552
