name,country,minx
Yu-Kai Chen (陳宇楷),Taiwan,811
Firmin Brault,France,811
Arseniy Dyachenko,Russia,811
Jason Harley,United Kingdom,811
Hubert Firek,Poland,811
Akash Rupela,India,810
Renat Nurgaleev,Russia,810
Jack Maddigan,New Zealand,810
Kyyarkhan Nikolaev,Russia,810
Caio Hideaki Sato,Brazil,810
Nathaniel Gee,USA,810
Kymberlyn Calderon,USA,810
Anton Bozhnev,Russia,809
Zeke Mackay,USA,809
Lauren Phung,USA,809
Lukáš Najman,Czech Republic,809
Dmitry Matthew Yaquinto,Russia,809
Junze Zhao (赵俊泽),China,809
Azhar Virani,USA,809
Dylan Ulysses James Thomas,Australia,808
Simon Westlund,Sweden,808
Mathai Manavalan,Australia,808
Bautista Bonazzola,Argentina,808
Cheng-Han Chu (朱政翰),Taiwan,808
Zach Amiridis,Australia,808
Julian Sico,New Zealand,808
Scott Froggatt,Ireland,808
Ihor Kastranets (Ігор Кастранець),Ukraine,807
Henry Helmuth,USA,807
Bakhytzhan Sharipbay (Бахытжан Шарипбай),Kazakhstan,807
Eduardo Gabriel Silva Bezerra,Brazil,807
Alexander Mutch,Canada,807
Conlan Trace,USA,807
Santiago Peña Urrego,Colombia,807
Andreas Jensen Forsgren,Norway,806
Antonio López,Spain,806
Arhaan Sareen,Canada,806
Nikita Pak,Russia,806
Luca Stalpers,Netherlands,806
Katie Hull,USA,806
Zhongyu Zheng (郑仲宇),China,806
Matej Marčok,Serbia,805
Samuel Kro,Norway,805
Mantra Shukla,New Zealand,805
Lucas Buckley,Australia,805
Étienne Aubry,France,805
Owen Chester,USA,805
Jason Ostdiek,USA,805
Jacob Joshi,Australia,804
Alicja Tyrakowska,Poland,804
Leonid Shcherbakov (Леонид Щербаков),Russia,804
Oliver Hutchinson,Australia,804
Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,804
Võ Nguyên Phát,Vietnam,804
Heng Liao (廖衡),Taiwan,803
Elias Alonso Usaqui Cabezas,Peru,803
Juan de Dios Noriega Sánchez,Mexico,803
Adam Kędziorski,Poland,803
Harrison Hollands,Australia,803
Xinyun Chen (陈新运),China,803
Zak Howard,Australia,802
Andres Arias Medina,Colombia,802
Constantin Lüske,Germany,802
Anjal Timsina,Nepal,802
Salma Yasser Abdelmageed,Egypt,802
Clément Burgevin,France,801
Leopoldo Andrés Ibarra Fuentes,Chile,801
Akmal Abduazizov,Uzbekistan,801
Michał Halczuk,Poland,801
Artem Kulikov (Артём Куликов),Russia,801
Kate Grahame,USA,800
Alexander Gusev,Russia,800
Chris Yoder,USA,800
Maxim Kozlov (Максим Козлов),Russia,800
Aleksey Tkachenko,Russia,800
Mitchell William Su,New Zealand,800
Vishwa Sankar,USA,800
Revan Rajahmoney,Australia,800
CJ York,USA,800
Riley Johnstone,Canada,800
Felix Kiera,Australia,800
Daniel Fraser,New Zealand,800
Peter Weyers,USA,800
Charlie Stark,United Kingdom,799
John Brechon,USA,799
Nicole Wang,Canada,799
Karina Voevodina,Russia,799
Dmitriy Kukuev,Russia,798
Dmitry Sidorenko,Russia,798
Benjamin Pugh,USA,798
Maoxuan Chen (陈茂轩),China,798
Ivan Torgashov (Иван Торгашов),Russia,798
Diego Fraile,France,798
Jules Desjardin,France,798
Zhukun Zhong (钟柱坤),China,798
Jacobo Alvarez,Colombia,798
Zhiyu Qian (钱治宇),China,797
Dmitry Melnikov (Дмитрий Мельников),Russia,797
Birkan Mayadağ,Turkey,797
Mohamed Yehya,Lebanon,797
Mary Hennessy,Ireland,797
Tiana Diachenko,Australia,797
Stepan Makarenko,Russia,797
Viktor Kalmar,Austria,796
Trenton Nelson,USA,796
Ilya Sokolov,Russia,796
Yusheng Du (杜宇生),China,796
Alexander Persaud,USA,796
Vaishnav Nitesh,India,796
Mihai Căpăţinescu,Romania,795
Yashwardhan Budhiraja,India,795
Stanisław Dąbrowski,Poland,795
Don Angelo Joson,Philippines,794
Sam Jacklin,United Kingdom,794
Samuel Long,Australia,794
Danila Rogozhnikov (Данила Рогожников),Russia,794
Viktoria Ivanova (Виктория Иванова),Russia,794
Rasmus Händén,Sweden,794
Brody Lassner,USA,794
Tobiasz Rychlik,Poland,793
Weijie Fang (方伟杰),China,793
