name,country,clock
Yan Jin (金岩),China,726
Kenneth Pérez Arias,Mexico,726
Lei Liu (刘磊),China,726
Lauren Klemz,USA,726
Matthew Wilcox,USA,726
Mikhail Kharitonov,Russia,725
Lisa Kucala,USA,725
Stone Amsbaugh,USA,725
Evgenii Loginov,Russia,725
Brian Johnson,USA,725
Farid Mikhailov,Kazakhstan,724
Michał Jakubowski,Poland,724
Brady Whitehead,Canada,724
Santhosh Sabarinathan,India,724
Nicolas Marin Urrea,Colombia,723
Jared Stinson,USA,723
Zewei Wang (王泽伟),China,723
Alex Loor,Ecuador,722
Joaquin Ruenes Hernández,Mexico,722
Arghadeep Mukherjee,India,722
Yihao Lü (吕奕豪),China,722
Carlos Rill Garcia,Mexico,722
Mu Liu (刘沐),China,722
Owen Widdis,USA,722
Vinay Omkumar Khilwani,India,722
Raúl Serrano Martínez,Spain,722
Aadhithya Hariharan,India,721
Elijah Gil S. Cacho,Philippines,721
Jiyi Wang (王吉怡),China,721
Francisco Moraes Mandalozzo,Brazil,721
Damir Zhanataev (Дамир Жанатаев),Kazakhstan,721
Laurids Abelsen Holm,Denmark,721
Fan Ye (叶凡),China,720
Yuanzhe Liu (刘远哲),China,720
Max Bradley-McFawn,Australia,720
Danila Safroshkin (Данила Сафрошкин),Russia,720
Vladislav Kshnyakin (Владислав Кшнякин),Russia,719
Seon Byun,Korea,719
DongSu Park (박동수),Korea,719
Nate Mochrie,New Zealand,719
Malaury Michelland,France,719
Chae Ji-Seok (채지석),Korea,718
Evgeniy Lee,Uzbekistan,718
Tin Huang,Canada,717
Nathan Black,New Zealand,717
Caden Scott,USA,717
Azamat Begaliev,Kazakhstan,717
Yutong Liu (刘昱彤),China,717
Tyler Bitz,USA,717
Saravanan Gowthaman,India,717
Haoze Yu (于昊泽),China,716
Rodrigo Zarate,Peru,716
Mingsen Han (韩明森),China,716
Hsiang Hsueh (薛翔),Taiwan,716
Artem Kulikov (Артём Куликов),Russia,716
Kyle Van Straaten,Canada,716
Luis Jonathan Omana Estrada,Mexico,716
Piotr Skowroński,Poland,716
Roland Frisch,Germany,715
Mateusz Gołaś,Poland,715
Elijah Gabriel Ret,USA,715
Yikuan Kan (阚亦宽),China,715
Eder Alberto Samayoa Lopez,Guatemala,715
Léo Francoeur,Canada,715
Artem Sheptun (Артем Шептун),Russia,715
Wuxiao Dong (董毋小),China,714
Arsenii Evdokimov (Арсений Евдокимов),Russia,714
Xiaobin Rui (芮晓彬),China,714
Alexey Kislovskiy,Russia,714
Angel Torres Perez,Mexico,714
Hannah Minas,Switzerland,713
Hanlin Ding (丁瀚林),China,713
Vladislav Pechenkin (Владислав Печёнкин),Russia,713
Denis Milov,Russia,713
Mihai Căpăţinescu,Romania,713
Yue Shen (申粤),China,713
Zhaoyu Chen (陈召宇),China,713
Mateusz Szulik,Poland,713
Jiahao Deng (邓家豪),China,712
Ramil Khasanov,Russia,712
Danila Sobyanin,Russia,712
Logan McGraw,USA,712
Mariia Hunchak (Марія Гунчак),Ukraine,712
Oleg Liven,Russia,712
Eason Siew Ee Son (蕭奕晨),Malaysia,712
Szabolcs Szántai,Hungary,711
Callum Hales-Jepp,United Kingdom,711
Brenton Angelo Lo Wong,Philippines,711
Yang Cheng (程阳),China,711
Kirby Jay Caragan,Philippines,711
Szymon Grodzki,Poland,711
Mikołaj Molski,Poland,710
Stephen Griggs,USA,710
Parker Trager,USA,710
Eli Parker,USA,710
Juan de Dios Noriega Sánchez,Mexico,710
Daniyal Arstambek (Даниял Арстамбек),Kazakhstan,710
Ryan Michael Breen,USA,710
Yongtao Sun (孙永涛),China,710
Nisheet Dave,India,710
Mason Langenderfer,USA,710
Vladimir Vasiliev (Владимир Васильев),Russia,710
Azael Toysehua,Mexico,709
Carlos Gabriel de Azevedo,Brazil,709
Matthew Sieredzinski,Australia,709
Caleb Ashley,USA,708
Mingzhi Da (达明志),China,708
Anqi Li (李安齐),China,708
Nils Thorben Lang,Germany,707
Svetlana Vyatkina (Светлана Вяткина),Russia,707
Riley Woo,USA,707
Shobhan Karthish,India,706
Joe Labas,Australia,706
Hanyang Cheng (程瀚洋),China,706
Alston Yam,New Zealand,706
Yoshi Hero Nakamura,Philippines,706
Wei Dong (董唯),China,706
Rustin Haderlie,USA,705
Anton Nazarov (Антон Назаров),Russia,705
Jessica Lohe,Germany,705
Dmitrii Dusheiko (Дмитрий Душейко),Russia,705
Jesús Fernando Castelán Gómez,Mexico,705
Amir Nahali (امیر نهالی),Iran,705
William Gan Wei Ren (颜伟仁),Malaysia,705
Thomas Heiden,Austria,705
Mingtao Xu (徐铭涛),China,705
Peter Weyers,USA,704
Timofey Pastrevich,Russia,704
Jacob Eoin Gipp,Canada,704
Wojciech Żmudziak,Poland,704
Matthew Malinak,USA,704
Diego Brizuela Crespo,Mexico,703
Samuel Weber,USA,703
Wong Min Jze,Malaysia,703
Nathan Kiser,USA,703
Kamil Łukaszewski,Poland,703
Gaurav Kumar,India,703
Adhi Jeyappragash,USA,703
Cheng-Han Chu (朱政翰),Taiwan,702
Dylan Johnston,Australia,702
Eben Quenneville,USA,702
Egor Kireev (Егор Киреев),Russia,702
Tyler Howlett,USA,702
Ivo Stoutjesdijk,Netherlands,702
Leo Higgins,USA,702
Daniil Nahornyi (Данііл Нагорний),Ukraine,701
Arisandra Soo,Australia,701
Mario Fernando Reyes Morales,Guatemala,701
Liam Savarino,Canada,701
Emma Dixon,USA,700
Dmitriy Truhin (Дмитрий Трухи́н),Russia,700
Charlie Haywood,United Kingdom,700
Lianghai Sui (眭亮海),China,700
Ivan Litsov (Иван Лицов),Russia,699
Mitchell Hum,USA,699
Jan Golec,Poland,699
Tommy Szeliga,USA,699
Mateusz Wcisło,Poland,699
Zongyang Li (李宗阳),China,699
Simone Santarsiero,Italy,699
Bohdan Shaposhnyk (Богдан Шапошник),Ukraine,699
Ravi Shah,USA,699
Jack Pfeifer,USA,698
Simon Kelly,Ireland,698
Eagan Cunningham,USA,697
Thomas Imada,Canada,697
Kiran Kulkarni,India,697
Zhihai Liu (刘之海),China,697
Yiran Wang (王毅然),China,697
Sebastián Pulgarín Manrique,Colombia,697
Dongheon Ryu (류동헌),Korea,697
Wiebke Drude,Germany,696
Samuli Laine,Finland,696
Peng Wang (王鹏),China,696
David Suit,USA,696
Helmer Ewert,Sweden,696
Pablo Serrano Santos,Spain,696
Serafima Petrova (Серафима Петрова),Russia,696
Leonid Zakharov (Леонид Захаров),Russia,696
Ryouga Hayashi (林竜河),Japan,695
Felicitas Eknigk,Germany,695
Nikita Loika,Belarus,695
Ziyu Wu (吴子煜),China,695
Elijah Essig,USA,695
David Addison Reid,USA,695
Sidharth Sawhney,India,694
Peyton Marcotte,USA,694
Jaylen Zhang,Canada,694
Jianjun Li (李建军),China,694
Deven Huard-Bernuy,Canada,694
Matvei Zakataev (Матвей Закатаев),Russia,694
Vyacheslav Kochergin (Вячеслав Кочергин),Russia,694
Elias Nordlund,Sweden,693
Joe Davis,Australia,693
Pau Plana Casas,Andorra,693
Prosper Huang,Canada,692
Muhammad Razin Bin Roslan,Malaysia,692
Daryl Aliben,Philippines,692
Javier Tirado Ortiz,Spain,692
Mike Ditton,Switzerland,692
Koen van den Berg,Netherlands,692
James Hildreth,USA,691
Riley Dexter,Australia,691
Natalia Valerio,USA,691
Jainendra Jain,India,691
Ehsan Rajabi Vahdat (احسان رجبی وحدت),Iran,691
Kristian Gil Caragan,Philippines,691
Ryszard Kiszka,Poland,690
Semen Artyukhov,Russia,690
Elizaveta Ermolkina,Russia,690
Cameron Glover,USA,690
Niki Placskó,Hungary,689
Andy Gong,Australia,689
Prayansh Vimal,India,689
Aleksandra Tatoń,Poland,689
Arturo Ocampos,Paraguay,689
Jose Ernesto Osorno Huerta,Mexico,688
Jinseo Hong,Korea,688
Wentian Xin (辛文天),China,688
Yung-Chun Tsai (蔡詠竣),Taiwan,688
Feng-Xi Hong (洪逢禧),Taiwan,688
Jiazheng Zhao (赵家正),China,688
Antonie Paterakis,Greece,688
Paul de Saint Albin,France,688
Anthony Bhamornsiri,Indonesia,688
Ethan Cho,USA,688
Chan Hay Yin (陳希言),Hong Kong,688
Amelie Dieterich,Germany,688
Felix Lewicki,Poland,688
Roberto da Costa Barbosa Nunes Caldas,Brazil,687
Dmitry Permyakov (Дмитрий Пермяков),Russia,687
