name,country,clock
Jiaxiang Wang (王家祥),China,805
Adrian Radziewicz,Poland,804
Karina Ermakova (Карина Ермакова),Russia,803
Nayan Jyoti Das,India,802
Aiden Chan,Canada,802
Renan da Cunha Santos,Brazil,802
Sean Cutshaw,USA,802
Sean Hartman,USA,802
Rachel Feran,USA,802
Daniel Tidsey,United Kingdom,802
Mahathir Muhammad Athoy,Bangladesh,802
Nicolas Køster Christensen,Denmark,802
Vishal Mohanraju,India,801
Alexandros Efremidis,Greece,801
Charlie van Ooran,Australia,801
Ekaterina Kaneva,Russia,801
James Quinn,USA,800
Wong Chong Wen (黄崇文),Singapore,800
Ronnie Jinxuan Zhu (朱缙轩),China,800
Amy Eguchi-Fergusson,Australia,800
Lucas Belcher,New Zealand,799
Vladyslav Zhydkov (Владислав Жидков),Ukraine,799
Nikolai Gomelchuk,Russia,799
Taiyu Wan (万泰宇),China,799
Oleksii Lasiichuk (Олексій Ласійчук),Ukraine,799
Jacob Sasine,USA,799
Elijah Brown,USA,798
Johannes Knudsen,Sweden,798
Jacob Chambers,United Kingdom,798
Dmitry Kryuzban,Russia,797
Yiding Zhao (赵一丁),China,797
Louis Cormier,Canada,796
Ivan Bashun (Иван Башун),Russia,796
Esneider Giraldo Restrepo,Colombia,796
Livia Kleiner,USA,796
Tantian Shen (沈谈天),China,796
Mark Spirin,Russia,795
Angeline Wijaya (黃千儀),Indonesia,795
Andrey Mishin (Андрей Мишин),Russia,795
Milan van Wanrooij,Netherlands,795
Misael Gómez Soria,Mexico,795
Ben Teh,Australia,794
Nestor Sokhan,USA,794
An-Yuan Jhan (詹安元),Taiwan,794
Zack Hall,Australia,793
Zhengli Ning (宁郑立),China,793
Ainesh Sevellaraja,Malaysia,793
Andrey Seleznev,Russia,792
Aleksandra Lukianova (Александра Лукьянова),Russia,792
Yunhui Zhao (赵云晖),China,791
Ilya Parchuck,Russia,790
Zachary Ochs,USA,790
Tommy Kiprillis,Australia,790
Haohan Zheng (郑皓涵),China,789
Maximilian Elsener,Switzerland,789
Justin Erkkila,USA,788
Destin Shulfer,USA,788
Ivan Kovach (Іван Ковач),Ukraine,788
Charlie Bauchop,New Zealand,788
Aaikham Borgohain,India,787
Elham Mubasshir Fahim,Bangladesh,787
Witold Sołtysik,Poland,786
Habin Kim (김하빈),Korea,786
Luis Angel Huerta Barrales,Mexico,786
Kiyomi Eguchi,Japan,786
Richert Jay Pinca,Philippines,786
Azizah Nur Hayati,Indonesia,785
Sukant Koul,India,785
Nathaniel Berg,Sweden,785
Leon Marcell Alamanda,Indonesia,785
Andrey Radaev (Андрей Радаев),Russia,785
Cameron Miller,USA,785
Yifan Sun (孙逸凡),China,784
Jacob Oliver Bruun,Norway,784
Justas Nemanius,Lithuania,784
Daniel Eric Ryan,Australia,784
Miklós Mohos,Hungary,784
Mats Walker,Germany,783
Xinhe Liu (刘心赫),China,782
Ksenia Esipova (Ксения Есипова),Russia,782
Krystian Załuski,Poland,782
Gabriel Alejandro Orozco Casillas,Mexico,782
Bradley Sampson,USA,781
Wojciech Barciaga,Poland,781
Adam Marcellus Kelly,USA,781
Adrien Auvray Matyn,New Zealand,781
Paul Mahvi,USA,781
Oscar Childs,New Zealand,780
Fabio Schwandt,United Kingdom,780
Zejun Chen (陈泽鋆),China,780
David Vujasić,Croatia,780
Yujia Wu (吴语嘉),China,779
Kevin Gerhardt,Germany,779
Yuxuan Zheng (郑誉轩),China,779
Zheming Li (李哲铭),China,779
Nathan Popov,USA,779
Huijun Gao (高慧军),China,779
Dmitry Melnikov (Дмитрий Мельников),Russia,778
Timothy Castle,USA,777
Ryuji Hamano (浜野竜二),Japan,777
Suen Ming Chi (孫銘志),Hong Kong,776
Mattheo de Wit,Netherlands,776
Nikita Pak,Russia,776
Håvard Færden,Norway,776
Artem Vanyan,Russia,776
Dylan Hua,Australia,775
Javier Siquité,Guatemala,775
Jack Maddigan,New Zealand,775
Ng Jia Quan (黄佳铨),Malaysia,775
Bence Barát,Hungary,774
Jun Wang (王珺),China,774
Arsenii Chaplinskii,Russia,772
Hao Wang (王浩),China,772
Zongqi Liu (刘宗奇),China,771
Sergey Nepushkin (Сергей Непушкин),Russia,771
Konosuke Nishiyama (西山幸之介),Japan,771
Clancy Caster,USA,770
Bruno Di Renzo John,Germany,770
Szymon Brzana,Poland,770
Jacob Fanikos,USA,770
Andrés Felipe Montoya,Colombia,769
Mattia Furlan,Italy,769
Sophia Schmoll,Germany,769
Chufan Cao (曹楚凡),China,769
Xuanwei Liang (梁轩玮),China,769
Zhangyi Guo (郭张翼),China,768
Cezary Mach,Poland,768
Felipe Cardim,Brazil,768
Benicio Lins Pinheiro,Brazil,767
Zhaohe Wang (王昭赫),China,767
Aleksey Zuev,Russia,767
Daniel Ramsden,United Kingdom,766
Danil Truhin (Данил Трухи́н),Russia,766
Travis Burkett,USA,766
Nancy Garcés Hazou,Bolivia,766
Jan Riedl,Czech Republic,765
Max Murphy,Canada,765
