name,country,sq1
Ivo Stoutjesdijk,Netherlands,868
Leo Lindqvist,Sweden,868
Walker Welch,USA,868
Darby Lee,Australia,867
Pavlo Huk (Павло Гук),Ukraine,867
Francisco Hamlin,Argentina,867
Justin Gou,USA,867
Samuel Scherrer,Canada,867
Sean Hartman,USA,867
Asher Kim-Magierek,USA,866
Sarina Wang,New Zealand,866
Stepan Anisimov (Степан Анисимов),Russia,866
Michał Mlostek,Poland,864
Max Walaszek,USA,864
Chung-Han Hsu (許鍾瀚),Taiwan,863
Burak Erdil Biçer,Turkey,863
Mohannad Mahmoud Fathy,Egypt,863
Jack Martin,USA,863
Dennis Hu,New Zealand,863
Elias Dunstone,Australia,862
Finn van der Maas,Netherlands,862
Pavel Mesyatsev,Russia,862
Bill Hammill,United Kingdom,861
Tucker Chamberlain,USA,861
Yifan Cheng (程依凡),China,861
Nathan Way,France,860
Samuel Knoll,USA,860
Daniel Ahokas,Canada,860
Tobias Peter,Switzerland,860
Ryan Wu,Canada,859
Carolina Guidetti,Italy,859
Lacey Dilworth,USA,859
Elvis Isaí Rosales Hernández,El Salvador,859
Ihor Kastranets (Ігор Кастранець),Ukraine,859
Bartosz Miduch,Poland,859
Pietro Mazza,Italy,858
Ahmed Ghandoor,Egypt,858
Tom Stanton-Barnett,New Zealand,857
Owen Brooks,USA,856
Stanley Chapel,USA,856
Khuslen Gan-Ochir,Mongolia,856
Diego Alfonso,France,856
Zachary Clark,USA,856
Zayd Chaudhry,Australia,855
Benjamin Bucksmith,New Zealand,855
Adam Golus,Poland,855
William Palmer,New Zealand,855
Liangrong Ma (马良戎),China,855
Muhammad Hafizuddin Akhtar Bin Mohd Zainal Abidin,Malaysia,854
Yunqi Ouyang (欧阳韵奇),China,854
Kun Zhu (朱锟),China,854
Aral Askarov,Kazakhstan,854
Bartłomiej Krokos,Poland,852
Geoffrey Li,Australia,852
Alwin Rölz,Switzerland,852
Bálint Csengő,Hungary,852
Lorenzo Layug,Philippines,851
Leo Millar,Australia,850
Mikhail Novoselov,Russia,849
Noah Aaron Pearson,Australia,849
Levi Gibson,USA,849
Aleksandr Beznogov,Russia,849
Federico Borgogni,Italy,849
Conlan Trace,USA,848
Jasper Murray,New Zealand,848
Tomasz Cepil,Poland,848
Linus Thyberg,Sweden,848
Lewis Garthwaite,USA,848
Dominika Warchoł,Poland,848
Vyacheslav Sizov,Russia,848
Jaime Calzado Gomez,Spain,848
Ahmet Barış Atlı,Turkey,848
George Scholey,United Kingdom,847
Dániel Székely,Hungary,847
Vojtěch Kundera,Czech Republic,847
Derek McNee,USA,847
Ethan Chen,Canada,846
Jude Doland,USA,846
Brady Lawrence,USA,845
Lir Ukaj,France,845
Kari Hyttinen,Finland,845
Elian Beguec,France,844
Rafał Waryszak,Poland,844
Ianis Costin Chele,Romania,844
Zijia Feng (冯子甲),China,844
John E. Bolling,USA,843
Luke Tycksen,USA,843
Chuan He (何川),China,842
Numair Malik,New Zealand,842
Karol Zakrzewski,Poland,842
Pau Carbonell,Spain,842
Shu Ogawa (小川柊),Japan,842
Nicholas Boo-Rivera,Malaysia,842
Jason White,USA,841
Lucas Jacobs,Canada,841
Mikhail Kopylov (Михаил Копылов),Russia,841
Tom Wilkinson,United Kingdom,841
Canzheng Cao (曹参政),China,840
Amy Eguchi-Fergusson,Australia,840
Kymberlyn Calderon,USA,840
Kanting Shi (史勘霆),China,840
Jakub Drobný,Slovakia,840
Henry Lichner,USA,840
Nathan Phillips,USA,840
Saveliy Surikov,Russia,839
Adam Marcellus Kelly,USA,839
Gabriel Otávio Barreto da Silva,Brazil,839
Luke Jankowiak,Canada,838
Thibaud Ou,France,838
Daan Kusters,Netherlands,838
Dmitrii Saukov (Дмитрий Сауков),Russia,838
Zhiyuan Ma (马之元),China,837
Heinrich de Lange,South Africa,837
Michael Muething,USA,837
Yelysei Hovorun (Єлисей Говорун),Ukraine,837
Marco Syfrig,Switzerland,837
Nurmukhammad Karimov,Uzbekistan,837
Christian Smedegaard,Denmark,836
Daniel Heberg Jørgensen,Denmark,836
Tzu-Han Hung (洪梓菡),Taiwan,836
Takao Hashimoto (橋本貴夫),Japan,836
Samir Homsi,Turkey,836
Yusuf Ragab,USA,835
Oscar Sánchez Najarro,Spain,834
Marcus Moberg,Sweden,834
Muhammed Pusat Özçelik,Turkey,833
Alejandro Nicolay,Spain,833
Fanyang Zeng (曾凡洋),China,833
Glenn Kadio-Morokro,USA,832
Ahmad Kamil Ihsan Bin Ikhwan,Malaysia,832
Dylan Cossin,USA,832
Krzysztof Wyrzykowski,Poland,831
Przemysław Kruczek,Poland,831
Xavier Ouano,Australia,831
Dominic Cater,USA,831
Doruk Dokurer,Turkey,831
Đặng Trần Diễn,Vietnam,830
Thomas Pierroz,Switzerland,830
David Edwards,Czech Republic,830
Jason Tong,China,830
Ethan Xu,New Zealand,830
James Elliott,USA,829
Jared Stinson,USA,828
Piotr Stachurski,Poland,828
Johannes Schiødte Gram Michaelsen,Denmark,827
Andres Roberto Amaya,Mexico,827
Midas Kiebert,Netherlands,827
Vitaliy Takanov,Russia,827
Xinyang Li (李昕洋),China,827
Zihao Wang (王子豪),China,826
Moritz Lotz,Germany,825
Evan Kuske,USA,825
Katie Hull,USA,825
Patryk Grosiak,Poland,824
Raymond Castillo,USA,824
Joseph Ong,USA,824
Ming Dao Ting,Australia,824
Dakota Akarlilar,USA,824
Isaac Myers,USA,824
Rowe Hessler,USA,823
Jesús Fernando Castelán Gómez,Mexico,823
Mansib Alam Talukder,Bangladesh,823
Richard Yiheng Tao,New Zealand,823
Dylan Baumbach,USA,822
Marat Karimov (Марат Каримов),Russia,822
Sameer Sethuram,USA,821
Aidan Toonen,Australia,821
Daniel Fraser,New Zealand,821
Kou Oobatake (大畠功),Japan,820
Ryan Eckersley,United Kingdom,820
Kai-Wen Wang (王楷文),Taiwan,820
Kent Thomson,Australia,820
Chawin Ratanasiri (ชวิน รัตนสิริ),Thailand,820
Tomasz Larysz,Poland,820
Cameron Miller,USA,819
Ignatiy Alkaev,Russia,819
Earl Joven Suyo,Philippines,819
Toni Beljo,Croatia,818
Myles Jarman,Australia,818
Mattia Rigo,Italy,818
Adrian Dębski,Poland,818
Wuouran Liu (刘巫偶然),China,818
Samuel Eklund-Hanna,Sweden,818
Adam Dawidziuk,Poland,817
Rafik Sarwat Naeem Ragheb,Egypt,817
Hua Long Javier Wan Zhu,Peru,817
Ozer Uysal,Australia,817
Erkin Can,Turkey,817
Dylan Chan,USA,817
Mikus Lembergs,Latvia,817
Joaquin Abarca,Canada,817
Timofey Dudko (Тимофей Дудко),Russia,817
Ekaterina Soboleva (Екатерина Соболева),Russia,817
Daniel Lucas Dailo,USA,816
Sergey Chirin,Russia,816
Ian Belevich (Ян Белевич),Russia,816
Keenan Johnson,USA,815
Lennon Hughes,Australia,815
Sebastian Bock,Australia,815
Evan Wright,USA,815
Kyle Polage,USA,814
William Niewand,Australia,814
David Messer,USA,814
Andreas Jensen Forsgren,Norway,814
Louis-Marie Ratto,France,814
Rodrigo Farfan Choquimaqui,Peru,814
Luca Stalpers,Netherlands,814
Paul Luciw,France,813
Cormac Farrell,United Kingdom,813
Andres Daniel Navarro Flores,Costa Rica,813
Piotr Ochal,Poland,812
Yerkin Assylbek,Kazakhstan,811
Ilya Sokolov,Russia,810
Jaxon Foster,Australia,810
Chris Choi,USA,810
Timur Imanov,Russia,809
Lucinda Zhou,USA,809
Artur Miralles Hernàndez,Spain,809
Brady Bockelman,USA,809
Benjamin Blaikie,New Zealand,809
Carol Chai,New Zealand,809
Lev Shpanov (Лев Шпанов),Russia,808
Egor Afanasenko (Егор Афанасенко),Russia,808
Esneider Giraldo Restrepo,Colombia,807
Simeon Buchner,Canada,807
Michael Tripodi,Australia,807
Leon Marcell Alamanda,Indonesia,807
Bharadwaj Duggaraju,India,807
Dilshodbek Kholmurodov,Uzbekistan,807
Samuel O'Sullivan,USA,807
Cyprian Kalbarczyk,Poland,807
Isaac Langer,USA,807
Félix Brouard,France,806
Will Callan,USA,806
William Moulden,Australia,806
Lucas Dusil,Czech Republic,805
Mateusz Gołaś,Poland,805
Luigi Soriano,USA,805
Frederiks Rūdolfs Kronbergs,Latvia,805
Phoenix Patterson,Australia,804
Anshu Chennuru,USA,804
Niklas Aasen Eliasson,Norway,804
Sean Clifton,Czech Republic,804
Yee Wen Foo,Malaysia,804
Ian Yeh,Canada,803
Dennis Rosero,Colombia,803
Leo Min-Bedford,Canada,803
Giovanni Bezzetto,Italy,803
Artem Kosarev (Артем Косарев),Russia,803
Zedan Mohamed Ahmed,Egypt,802
Ian Vaugier Aguilar,Mexico,802
Nick Agatyn,Australia,802
Renato Stopic,Bosnia and Herzegovina,802
Khem Fernandez,Philippines,802
Declan James Douglas McLennan,Australia,802
Oleg Ten (Олег Тен),Uzbekistan,802
Daniel Goodman,USA,801
Ayaz Minnegaleev,Russia,801
Davide Arnesano,Italy,801
Johannes Knudsen,Sweden,801
Benjamin Pugh,USA,801
Michele Zanirato,Italy,801
Silas Emerian,USA,800
Burak Yalçın,Turkey,800
Aiden Chan,Canada,800
