name,avgs,bpas,ratio
Jode Brewster,27,8,1.069
Jörg Seidler,14,3,1.069
Francisco Hamlin,28,5,1.069
David Ludwig,12,1,1.069
Ben Whitmore,35,7,1.069
Jefferson Nunes Brito de Oliveira,13,1,1.069
Vilius Ribinskas,27,4,1.069
Pablo Ferrando Brunet,14,2,1.069
Isaac Langer,27,3,1.069
Ryan Pilat,40,6,1.069
Pol Juny Sánchez,11,3,1.069
Alwin Rölz,69,11,1.069
Rakesh M. Vaideeswaran,11,2,1.069
Stefan Lidström,18,1,1.069
Spencer Stutzman,15,5,1.069
Yuji Yoshida,32,4,1.069
Mattheo de Wit,29,2,1.069
Tijmen van der Ree,65,6,1.069
Grégoire Gsell,28,9,1.069
Simon Westlund,44,9,1.069
Elian Beguec,27,3,1.069
James Molloy,99,10,1.069
César Abraham Briones Arreola,21,5,1.069
Rodrigo Ugarte,15,2,1.069
Lorenzo Mauro,38,6,1.07
Benjamin Gottschalk,105,17,1.07
Brigham Dent,12,1,1.07
Evan Liu,80,10,1.07
Kyle Van Straaten,22,2,1.07
Dušan Zakelšek,43,3,1.07
Tripp Peters,32,3,1.07
Angeline Wijaya (黃千儀),36,4,1.07
Jan Bentlage,191,26,1.07
Alexander Botz,42,6,1.07
Pessi Ansaranta,37,5,1.07
Mathias Søndergaard Byrne,31,6,1.07
Carlos Méndez García-Barroso,25,3,1.07
Carsten Matheus,20,2,1.07
Joshua Broderick Phillips,18,2,1.07
Teera Tareesuchevakul (ธีรา ธารีสุชีวกุล),12,2,1.07
Yi Wang (王旖),17,2,1.07
Thomas Sonnenberg Jarner,28,3,1.07
Jorge Castillo Matas,12,2,1.07
Dhruv Arora,15,3,1.07
Ihor Bilchenko (Ігор Більченко),33,6,1.07
Marcus Siu,18,2,1.07
Michael Nielsen,23,5,1.07
Łukasz Stępień,13,5,1.07
Jack O'Mahony,15,4,1.07
Mikhail Arkhipov,14,3,1.07
Baramee Pookcharoen (บารมี พุกเจริญ),14,3,1.07
Fabio Schwandt,53,10,1.07
Kunal Oak,24,2,1.07
Lisa Rengers,15,1,1.07
Daniel Goldstein,11,0,1.07
Tom Stanton-Barnett,20,3,1.07
Manuel Prieto de Antón,47,5,1.07
Uladzislau Ushakov (Владислав Ушаков),15,4,1.07
Everett Kelly,28,4,1.07
Jan Zych,78,9,1.07
Ting Sheng Bao Yang,52,9,1.07
Qirun Zhong (钟奇润),15,3,1.07
Charlie Cooper,11,3,1.07
Ng Jia Quan (黄佳铨),29,3,1.07
Evan Mann,12,4,1.07
Yikuan Kan (阚亦宽),21,1,1.07
Maxim Ilin,26,2,1.07
Rasmus Händén,22,3,1.071
Yongyi Xiong (熊永一),18,1,1.071
Ivan Lew Yi Wen (刘义文),20,3,1.071
Murillo Gomes Otero,33,5,1.071
Balázs Kuthi,12,2,1.071
Mitchell Lane,49,5,1.071
Maksym Yeli (Максим Єлі),17,4,1.071
Peter Weyers,16,2,1.071
Adrien Auvray Matyn,23,2,1.071
Oliver Wheat,14,2,1.071
Toni Beljo,32,3,1.071
Jure Gregorc,22,4,1.071
Graham Siggins,33,5,1.071
Simon Kellum,49,5,1.071
James Hamory,28,2,1.071
Max Xiong (熊锐明),19,2,1.071
Feliks Zemdegs,71,9,1.071
Dan Cohen,31,5,1.071
Igor Tarasov,48,8,1.071
Marco Rota,62,10,1.071
Dominika Warchoł,14,3,1.071
Luigi Soriano,57,9,1.071
Paweł Kowol,26,4,1.071
Bertie Longden,25,3,1.071
Manfred Siew Ee Sheng (蕭奕晟),31,7,1.071
Alex Maass,29,5,1.071
Kengo Yamawaki (山脇憲吾),19,3,1.071
Abhimanyu Singhal,15,3,1.071
Chen Kang (亢晨),33,6,1.071
Jose Pedro Santibañez Alviso,15,3,1.071
Tianlang Han (韩天朗),20,1,1.071
Bruno Alonso Villacorta Montoya,11,2,1.071
Maksim Zemtšihhin,11,1,1.071
Aoqiu Liu (刘澳秋),11,3,1.072
Oscar Alberto Ceballos Contreras,22,5,1.072
Jacob Chambers,20,4,1.072
Raymond Goslow,54,8,1.072
Edward Vakula,15,4,1.072
Carson Claud,15,1,1.072
Alexandru Constantin Stoica,11,2,1.072
Miguel Angel Puerta Simarra,15,3,1.072
Jernej Omulec,41,6,1.072
Szymon Grodzki,18,2,1.072
LianCheng Guo,12,1,1.072
Timothy Castle,51,3,1.072
Tomáš Zatroch,20,1,1.072
Adrián Martínez Macías,11,1,1.072
Eemil Lahti,27,3,1.072
Cyrus Wong Yuk Chi (黃昱誌),14,1,1.072
Gilberto Caracciolo Morelli,20,2,1.072
Russel Bocalbos,25,4,1.072
Artem Melikian (Артем Мелікян),24,3,1.072
Alvar Nylén,22,4,1.072
Divnoor Bajwa,11,2,1.072
Will Callan,55,4,1.072
Sébastien Auroux,138,19,1.072
Yen-Pin Xiao (蕭彥平),34,4,1.072
Piotr Ochal,19,2,1.072
Emilio Eleodoro Ramírez Lahsen,27,4,1.072
Roan Paone,17,2,1.072
Dániel Varga,105,19,1.072
Francisco Moraes Mandalozzo,16,1,1.072
Oscar Watson,13,1,1.072
Takayuki Tanaka (田中隆喜),24,3,1.072
Marcos Ameijeiras Moreno,53,7,1.072
François Courtès,145,18,1.072
Kevin Coulter,15,1,1.072
Elvin Thorsen,69,13,1.072
Daniel Porter,18,2,1.072
Justin Choi,18,2,1.072
Mykhailo Akhunov (Михайло Ахунов),13,3,1.072
Qi Zhou (周祺),16,1,1.072
Diego Alfonso,19,3,1.073
Andrey Mishin,21,2,1.073
Mateusz Szulik,63,7,1.073
Alex Walker,16,2,1.073
Kaiyang Gao (高凯阳),17,2,1.073
Piotr Olszewski,63,7,1.073
Krish Shah-Nathwani,44,8,1.073
Shek Ho Hin (石灝軒),16,4,1.073
Yi-Ho Hsueh (薛以和),40,2,1.073
Josué Arévalo,11,2,1.073
Anshu Chennuru,32,1,1.073
Marco Yang,16,2,1.073
David Arzamastsev,14,1,1.073
Tommy Cherry,34,2,1.073
Alberto Pérez de Rada Fiol,34,4,1.073
Jeremy Fleischman,11,2,1.073
Dávid Balog,23,3,1.073
Rafał Waryszak,52,11,1.073
Chia-Liang Tai (戴嘉良),60,8,1.073
AJ Blair,33,5,1.073
Nikhil Soares,45,5,1.073
Bhargav Narasimhan,20,4,1.073
Anant Pingle,38,5,1.073
George Scholey,35,5,1.073
Cyril Barigand,12,4,1.073
David Lim,22,3,1.073
Luiz Fellipe Oliuza Leal Silva,19,4,1.073
Patrick Ponce,72,12,1.073
Mats Valk,102,13,1.073
Pablo Say,36,4,1.074
Key Yu Wan,12,0,1.074
Sameer Aggarwal,74,10,1.074
Saiyam Jain,22,5,1.074
M Aashrit Krishna Sankaran,15,2,1.074
Daniel Gracia Ortiz,57,8,1.074
Brad Hoffman,20,2,1.074
Einar Kvam Lundberg,17,2,1.074
Baiqiang Dong (董百强),49,8,1.074
Vilius Čirgelis,19,3,1.074
Helmer Ewert,67,9,1.074
Maarten Smit,33,5,1.074
Kari Hyttinen,43,6,1.074
Gustav Wälivaara,17,3,1.074
Luke Jankowiak,19,3,1.074
Krzysztof Żerucha,18,2,1.074
Wei-Chen Hsieh (謝維宸),12,2,1.074
Amod Mathur,11,1,1.074
Tobias Peter,97,12,1.074
Zayd Chaudhry,12,3,1.074
Chung-Han Hsu (許鍾瀚),39,6,1.074
Ivan Zabrodin,39,3,1.074
Henri Gerber,61,8,1.074
Perry Nathaniel Gonzales,14,1,1.074
Can Gücüyener,15,3,1.074
Farid Mikhailov,21,2,1.074
Iuri Grangeiro Carvalho,21,4,1.074
Fauzan Rafi Amrullah,11,1,1.074
Yannic Waser,18,2,1.074
Unai Castillo Erro,16,0,1.074
Berk Rende,15,4,1.075
Maria Zhits,25,3,1.075
Patrick Hetco,17,2,1.075
Daniel Karnaukh,97,10,1.075
Szabolcs Szántai,23,3,1.075
Anuar Miguel Abib Onofre,12,3,1.075
Kristopher De Asis,33,1,1.075
Aryan Chhabra,11,2,1.075
Yu-Hsuan Chang (張祐瑄),42,6,1.075
Mikhail Kuzin,21,1,1.075
Michał Robaczyk,29,4,1.075
Kabir Johal,13,1,1.075
Anthony Lafourcade,41,4,1.075
Zhao-Zhe Zhong (鍾肇哲),89,18,1.075
Mayron Blain,20,2,1.075
Matthew Cook,16,2,1.075
Axel Flordal,17,4,1.075
Joaquin Ruenes Hernández,14,1,1.075
Vojtěch Kundera,26,4,1.075
Sergey Ryabko,13,1,1.075
Katie Hull,95,14,1.075
Varun Mohanraj,12,1,1.075
Brandon Harris,11,1,1.075
Pablo Nicolás Oshiro Mondoñedo,37,3,1.075
Julián García Sánchez,15,0,1.075
Shao-Heng Hung (洪紹恆),42,6,1.075
Matic Omulec,69,9,1.076
AJ Kamal,41,6,1.076
Robert Yau,109,18,1.076
