name,avgs,bpas,ratio
Stephen Griggs,46,4,1.055
Oleksandr Seniuk (Олександр Сенюк),19,4,1.055
David Arzamastsev,12,1,1.055
Guido Dipietro,12,0,1.055
Ewa Wójcik,12,0,1.055
Diego Alejandro Casas Jimenez,18,5,1.055
Helmer Ewert,24,4,1.055
David Woner,26,5,1.055
Wojciech Rogoziński,12,2,1.055
Niklas Spies,19,4,1.055
Ryan Jones,17,1,1.055
Brian Johnson,30,6,1.055
Hung Lo (羅鴻),36,5,1.055
Louis Cormier,27,3,1.055
Marco Rota,17,5,1.055
Michał Halczuk,37,8,1.055
Tyler Brodzinski,16,1,1.055
Ihor Bilchenko (Ігор Більченко),38,5,1.055
Chris Mills,28,2,1.055
Daniel Sheppard,109,10,1.055
Joris Mühlsteff,16,2,1.055
Justin Jaffray,11,1,1.055
Wojciech Knott,101,16,1.055
Bartłomiej Owczarek,30,3,1.056
Denys Haidaichuk,11,0,1.056
Yan Zheng (郑岩),19,5,1.056
Magdalena Pabisz,34,7,1.056
Anatoly Kim,15,1,1.056
Nicolas Gertner,24,3,1.056
Zijia Feng (冯子甲),84,10,1.056
Mitchell Lane,32,3,1.056
Francisco Moraes Mandalozzo,11,0,1.056
Gaël Dusser,37,6,1.056
Deni Mintsaev (Дени Минцаев),12,2,1.056
Chan Tak Chuen (陳德泉),47,8,1.056
Dmitry Kryuzban,57,8,1.056
Stefan Lidström,11,0,1.056
Andrew Coghill,24,4,1.056
Maicol Ramos,15,2,1.056
Luca Rizzi,13,1,1.056
Aedan Bryant,38,5,1.056
Tripp Peters,12,1,1.056
Patrick Drew Dwyer,13,2,1.056
Carter Bitz,12,1,1.056
Sam Shaw,39,5,1.056
Jure Gregorc,34,3,1.056
Ian Gilham,12,2,1.057
Marek Padlewski,21,1,1.057
Daniel Mullen,86,10,1.057
Chad Harris,38,4,1.057
Ethan Pride,15,0,1.057
Sam Zhixiao Wang (王志骁),13,2,1.057
Hannah Minas,34,5,1.057
Chenwei Li (李琛炜),73,10,1.057
Jakub Hamkało,31,4,1.057
Arnaud van Galen,62,5,1.057
David Stiven Benitez Guerra,19,3,1.057
Rachel Feran,77,14,1.057
Clay Moore,32,5,1.057
Santeri Laine,24,3,1.057
Miklós Mohos,13,2,1.057
Mattia Furlan,19,3,1.057
Ryan Jew,45,6,1.058
Ardianto Satriawan,14,3,1.058
Serafima Petrova (Серафима Петрова),12,1,1.058
Nikolas Márkus,14,2,1.058
Zachary Ochs,55,8,1.058
John Edison Ubaldo (ᜇ᜔ᜌᜓ︀ᜈ᜔ ᜁᜇᜒᜐᜓ︀ᜈ᜔ ᜂᜊᜎ᜔ᜇᜓ︀),18,3,1.058
Radosław Opoka,31,9,1.058
Matthew Dickman,33,4,1.058
Chris Martin,32,6,1.058
Daniel Rivas,16,4,1.058
Jade Durenne,11,1,1.058
Marcus Moberg,27,4,1.058
Ryan DeLine,64,6,1.058
Yinghao Wang (王鹰豪),48,9,1.058
Chris Wall,27,6,1.059
Dominika Warchoł,14,4,1.059
Cyrus Wong Yuk Chi (黃昱誌),14,1,1.059
Fabio Schwandt,45,7,1.059
Tairan Zhong (钟泰然),63,7,1.059
Reto Bubendorf,35,4,1.059
Andrew Karbusicky,18,2,1.059
Heron Sato,11,0,1.059
Chunyu Zhang (张春雨),21,2,1.059
Alex Kekkonen,18,2,1.059
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),11,2,1.059
Michał Mlostek,50,3,1.059
Chloe Lee Synn Yii,11,3,1.059
Robbie Villarica,26,3,1.059
Raúl Ramos,13,2,1.06
Jared Stinson,31,5,1.06
David Beugnon,39,5,1.06
Hippolyte Moreau,30,8,1.06
Daniel Chudecki,13,1,1.06
Prin Kijviwattanakarn (ปริญ กิจวิวัฒนการ),17,2,1.06
Zeke Mackay,21,2,1.06
Silas Starling,54,6,1.06
Christian König,12,4,1.06
Charlie Stark,61,8,1.06
James Hildreth,62,10,1.06
Alejandro Riveiro Rodríguez,20,4,1.06
Mihai Căpăţinescu,12,2,1.06
Rasmus Stub Detlefsen,21,4,1.061
Adrián Martínez Macías,16,4,1.061
Fyodor Ivanov,19,2,1.061
Rodrigo Zarate,14,3,1.061
Tianping Ding (丁天平),24,6,1.061
Jan van Dorst,11,1,1.061
Alexey Yarygin,18,2,1.061
Guus de Wit,17,1,1.061
Volodymyr Korol (Володимир Король),22,5,1.061
Jingyuan Chen (陈静远),16,2,1.061
Clément Gallet,60,11,1.061
Hassan Khanani,20,2,1.061
Greg Austin,14,0,1.061
Arttu Puttonen,23,3,1.061
Marek Wójtowicz,18,2,1.061
Alexis Rodrigo Cazu Mendoza,22,5,1.061
Max Siauw,29,3,1.061
Harry Savage,35,3,1.061
Xinan He (何栖楠),23,1,1.061
Zhiyuan Ma (马之元),16,5,1.061
Boxi Chen (陈博希),30,2,1.061
Evan Liu,111,15,1.061
Andrey Che,14,0,1.061
Stanley Chapel,56,6,1.061
Timo Norrkniivilä,41,4,1.061
Ryouga Hayashi (林竜河),22,3,1.061
Nikita Kovalchuk (Нікіта Ковальчук),23,5,1.061
Andrew C. Hooke,15,4,1.061
Bartosz Pawlik,12,3,1.062
Juho Arjanne,40,6,1.062
AJ Kamal,17,3,1.062
Ivan Zabrodin,43,2,1.062
Shlok Mongia,12,1,1.062
Raúl Sancho Molinero,16,2,1.062
Karol Piskorek,19,0,1.062
Ryan Vall,11,3,1.062
Wojciech Barciaga,20,3,1.062
Michael Gottlieb,11,3,1.062
Brady Metherall,11,0,1.062
Lars Vandenbergh,48,5,1.062
Tomáš Novotný,16,2,1.062
Jeff Stinson,23,3,1.062
Aryan Sehgal,16,2,1.062
Yi-Fan Wu (吳亦凡),29,4,1.062
Adam Chodyniecki,16,3,1.062
Piotr Tokarski,51,5,1.063
Patrycja Michalska,43,6,1.063
Ryan Wu,14,2,1.063
Zhengjun Lin (林正俊),12,2,1.063
Joel Lundström,12,3,1.063
Łukasz Dubicki,15,1,1.063
Ainesh Sevellaraja,33,3,1.063
Leovigildo Sánchez Casado,14,3,1.063
Xiangjie Li (李祥杰),21,4,1.063
Will Belote,17,2,1.063
Benjamin Gottschalk,37,4,1.063
Tomi Ronkainen,51,9,1.063
Sean Hartman,49,6,1.064
Sean Skinner,11,0,1.064
Laura Holzhauer,28,7,1.064
Farid Mikhailov,16,4,1.064
Manfred Siew Ee Sheng (蕭奕晟),47,5,1.064
Erik Akkersdijk,51,7,1.064
Ilya Nazarov,13,2,1.064
Damian Wilding,15,0,1.064
Arkadiusz Abramowski,18,1,1.064
Kerry Creech,44,5,1.064
Robert Yau,83,11,1.064
Kieran Dizon,28,0,1.064
Dmitry Aniskin,19,1,1.064
Zachary White,25,6,1.064
Brody Schoon,14,0,1.064
Lincheng Cai (蔡林成),29,2,1.064
Ryuji Hamano (浜野竜二),28,5,1.064
Nathaniel Berg,71,10,1.064
Zhao-Zhe Zhong (鍾肇哲),49,3,1.064
John Paul Custodio,18,3,1.064
Jacob Ambrose,155,19,1.064
Rodrigo Ugarte,14,1,1.064
Sergey Chirin,17,4,1.064
Sheng Cao (曹晟),18,3,1.064
Ilya Tsiareshka,116,16,1.064
Owen Widdis,17,3,1.065
Jacob Chambers,38,8,1.065
Eemil Lahti,30,3,1.065
Krystian Załuski,14,0,1.065
Olivér Perge,115,13,1.065
Han Wu (吳翰),13,0,1.065
Marcel Nycz,30,5,1.065
Cale Schoon,31,4,1.065
Carlos Méndez García-Barroso,31,4,1.065
Wilson Alvis (陈智胜),21,4,1.065
Ronald Mansveld,18,4,1.065
Shun-Hsin Chang (張舜欣),41,3,1.065
Vicenzo Guerino Cecchini,20,2,1.066
Callum Hales-Jepp,110,9,1.066
Sam Spendla,50,2,1.066
Alexander Olleta del Molino,25,2,1.066
Ho Hsieh (謝合),12,2,1.066
Maxim Brednev (Максим Бреднев),13,1,1.066
Eva Kato,12,4,1.066
Bautista Bonazzola,12,2,1.066
Javier Tirado Ortiz,92,12,1.066
Livia Kleiner,33,1,1.066
Lovisa Eriksson,14,1,1.066
Mason Langenderfer,40,3,1.066
Akash Rupela,19,6,1.066
Chia-Leo Lin (林珈樂),36,3,1.066
Simon Kellum,30,4,1.067
Pau Vela García,56,9,1.067
Mateusz Kotwica,37,7,1.067
Suen Ming Chi (孫銘志),11,1,1.067
Luke Garrett,32,3,1.067
Anton Savushkin,19,3,1.067
Nicolás Shwkyng Monroy,14,3,1.067
Jami Viljanen,16,0,1.067
Ron van Bruchem,22,4,1.067
Lee Jia Yong (李伽榮),12,2,1.067
Maarten Smit,31,5,1.067
Urho Kinnunen,11,1,1.067
Dalton Padgett,52,4,1.068
Young He (何嘉炀),50,8,1.068
Oliver Castledine,12,1,1.068
Christopher Morris,27,1,1.068
Corey Sakowski,40,6,1.068
Steven Kearns,27,2,1.068
Dominic Lumsden,13,1,1.068
Walker Welch,133,17,1.068
Łukasz Burliga,30,7,1.068
Thomas Sonnenberg Jarner,15,2,1.068
Marcin Popławski,13,3,1.068
Cristian Ezequiel Vega,13,1,1.068
Christopher Chi,21,1,1.068
Myles Jarman,22,1,1.068
Pavel Yushkevich,23,4,1.069
Lakshmi Sai Srivatsa,12,1,1.069
Siddhi Venkatesh,18,4,1.069
Michael (謝富亦),19,2,1.069
Linxiao Xu (徐林霄),11,0,1.069
Yunhao Lou (娄云皓),39,4,1.069
Elvin Thorsen,36,5,1.069
Wong Chong Wen (黄崇文),30,2,1.069
Daniel Wallin,106,9,1.069
Oleg Gritsenko,32,5,1.069
Owidiusz Pryk,35,3,1.069
Leandro Vasconcellos Alleoni,12,0,1.069
Lucas Wesche,17,4,1.069
Alessandro Nicolì,15,3,1.069
James Gonsalves,11,1,1.069
Aliaksei Anisimau,11,4,1.07
Gavin Nelson,11,2,1.07
Agnes Maxelino,11,1,1.07
Sean Moran,12,1,1.07
Ming Zheng (郑鸣),36,3,1.07
Anders Berggren,37,5,1.07
Naren Ramesh,11,3,1.07
Shivam Bansal,44,8,1.07
Devin Corr-Robinett,12,1,1.07
Jurgens Filiaggi,30,4,1.07
Jack Pfeifer,16,3,1.07
Igor Tarasov,13,2,1.071
Calvin Nielson,28,2,1.071
Milán Baticz,22,2,1.071
Yunke Zhang (张云柯),20,1,1.071
Muhammad Arsyad Maulana,14,0,1.071
Riadi Arsandi,16,3,1.072
Ryan Michael Breen,13,1,1.072
Yunqi Ouyang (欧阳韵奇),45,4,1.072
Linus Laurén,32,4,1.072
Aleksander Arefiew,11,1,1.072
Piotr Trząski,12,2,1.072
Mary Hennessy,11,1,1.072
Kai Jiptner,11,2,1.072
David Adams,15,2,1.072
Bobby D'Angelo,14,2,1.073
Joonas Silvennoinen,54,7,1.073
Rustam Valeev,13,1,1.073
Jialin Zhou,11,4,1.073
Nathan Popov,11,0,1.073
Elizaveta Ermolkina,13,2,1.073
Yunliang Zhang (张赟量),16,3,1.073
Sameer Aggarwal,13,2,1.073
Olli Vikstedt,33,4,1.073
Andre Febriato Jonathan,18,2,1.073
Timothy Sun,13,0,1.073
Tim Wong,12,2,1.073
Noah Swor,21,0,1.074
Tristan Wright,16,1,1.074
Piotr Olszewski,45,7,1.074
Stephano Saucedo Reyes,11,2,1.074
Katie Davies,18,1,1.074
Jinseo Hong,11,1,1.074
Nicolas Schmied,15,1,1.074
