name,avgs,bpas,ratio
Nicola Barbaro,187,24,1.049
Liam Chen,155,27,1.049
Kamil Pawlak,234,28,1.049
Jedrick Remonde,467,66,1.049
Riccardo Simone,431,62,1.049
Kailong Li (李开隆),703,109,1.049
Nobuaki Suga (菅信昭),618,85,1.049
Eduardo Antonio Lara Martínez,178,26,1.049
Ari Randers-Pehrson,330,44,1.049
Anyu Zhang (张安宇),409,66,1.049
Valentin Havlovec,124,14,1.049
Daniel Cofreces Jaureguizar,232,32,1.049
Andreas Wagner,194,30,1.049
Yongtao Sun (孙永涛),481,64,1.049
Claudio Andre Gomez Villca,243,33,1.049
Ivan Kravchenko (Іван Кравченко),139,26,1.049
Tomoya Firman,264,36,1.049
Andrew Hwang,172,25,1.049
Parth Garg,156,26,1.049
Lance Aguilar,116,16,1.049
Thomas Anderson,92,12,1.049
Marquez Phan,234,30,1.049
Shihao Ou (欧世浩),104,23,1.049
Carsten Matheus,465,74,1.049
Jorge Ströh,144,21,1.049
Manuel Gutman,226,37,1.049
Gabriel Ignacio Fernández Albarracin,181,27,1.049
Riadi Arsandi,240,38,1.049
Cormac Farrell,247,38,1.049
Jiaxi Wang (王嘉熙),178,28,1.049
Joel Mamani Tumiri,93,14,1.049
Jérôme Carlier,97,12,1.049
Mattia Furlan,383,65,1.049
Lee Jia Yong (李伽榮),161,24,1.049
Ali Atashi (علی آتشی),179,18,1.049
Freddy Fernández Córdova,204,29,1.049
Bobby Mapp,268,41,1.049
Stepan Dzhurylo (Степан Джурило),106,18,1.049
João Pedro dos Santos Costa,131,14,1.049
Jakob Obleser,259,41,1.049
Derek Tat,194,27,1.049
Nicos Ahlgrimm,122,15,1.049
Norbert Héjja,114,16,1.049
Munkhdelger Shinekhuu,106,14,1.049
Wesley Miller,176,33,1.049
Rachel Riggenbach,187,24,1.049
Noel Yzaguirre,102,11,1.049
He-Han Wu (吳和翰),105,18,1.049
Jarry Tapia Vasquez,95,16,1.049
Stephano Saucedo Reyes,275,50,1.049
Berit Brüster,171,24,1.049
Bence Barát,2451,339,1.049
Juan Pablo Silvera Prieto,109,14,1.049
Abraham Ismael Hernandez Sabido,128,20,1.049
Cyrez Ronquillo,114,15,1.049
Max Day,254,35,1.049
Xiang-Fu Tian (田翔富),107,17,1.049
Jonathan Hamstad,295,52,1.049
Ian Bourn,114,18,1.049
Daniel Anker Hermansen,193,24,1.049
Jared Astrof,139,19,1.049
Jorge Augusto Siqueira Pinto,165,21,1.049
Stefan Huber,415,76,1.049
Connor McLaughlin,108,13,1.049
Shanglin Ye,229,31,1.049
Samantha Raskind,361,50,1.049
Conor Cronin,276,46,1.049
Raymond Goslow,897,134,1.049
Joshua Koilpillai,118,24,1.049
Mateo Rodríguez,256,39,1.049
Jakob Kogler,307,46,1.049
Carlos Chamizo Cano,126,17,1.049
Alex Seidler,115,9,1.049
Kalyani H. Kiran,93,6,1.049
Jhon Edison Arcila Quintero,98,11,1.049
Zengchu Wu (吴增初),92,11,1.049
Erwan Kohler,505,74,1.049
Bernett Orlando,100,16,1.049
Gilles van den Peereboom,104,13,1.049
Yan Xuan (宣炎),124,18,1.049
Haotian Zheng (郑皓天),132,23,1.049
Michael Conard,308,43,1.049
Daiven Strom,101,15,1.049
Amod Mathur,250,30,1.049
Gabrielle Morasse,109,16,1.049
