Rank,Name,Country,Average
243,Shuto Ueno (上野柊斗),Japan,409.92
244,Jeremy Singson,India,410.0
245,Luboš Bartík,Czech Republic,410.01
246,Hubert Kwasigroch,Poland,410.3
247,An Hu (胡安),China,410.31
248,Mihnea Andrei Panţu,Romania,410.43
249,Jong-Ho Jeong (정종호),Korea,410.44
250,Fabian Emiliano Escareño Gonzalez,Mexico,411.51
251,Samantha Raskind,USA,411.76
252,Mark Zimmermann,Germany,411.8
253,Victor Chenu,France,411.92
254,Nathaniel Ortega,Philippines,412.16
255,Dawei Xu (徐大卫),China,412.56
256,Ujjawal Pabreja,India,413.01
257,Danila Ryabinin,Russia,413.17
258,Shivam Bansal,India,413.36
259,Fabian Löhle,Switzerland,414.45
260,Ari Randers-Pehrson,USA,414.81
261,Jascha Bakarinow,Germany,414.83
262,Dmitry Zvyagintsev,Russia,414.83
263,Jun-Rui Rao (饒峻睿),Taiwan,414.99
264,Daniel Sheppard,United Kingdom,415.28
265,Róbert Maróti,Hungary,415.5
266,Dale Stephen M. Palmares,Philippines,415.6
267,Magdalena Pabisz,Poland,415.62
268,Yota Ueda (上田陽太),Japan,415.63
269,Rui-Jun Liu (劉睿鈞),Taiwan,415.81
270,Andre Febriato Jonathan,Indonesia,415.93
271,Dylan Wang,Canada,415.99
272,Jose Polorhenzo Aquino,Philippines,416.45
273,Hongtong Zhu (朱泓同),China,416.57
274,Wenjie Lan (兰文杰),China,416.61
275,Daniel Karnaukh,USA,416.64
276,Jiyi Wang (王吉怡),China,417.07
277,Beom San Kim (김범산),Korea,417.71
278,Zi-Xian Liao (廖子賢),Taiwan,417.74
279,Zhiqing Shi (石志庆),China,417.9
280,Bo Wang (王擘),China,417.92
281,Wojciech Knott,Poland,418.18
282,Niko Paavilainen,Finland,418.37
283,Chidchanok Saelee (ชิดชนก แซ่ลี้),Thailand,418.5
284,Joshua Feran,USA,418.7
285,Yung-Hung Cheng (鄭永鴻),Taiwan,418.82
286,Dylan Hughlett,USA,418.84
287,Jan Staubach,Germany,418.9
288,Stephen Christopher Suba,Philippines,418.97
289,Antoine Cantin,Canada,419.02
290,David Vujasić,Croatia,419.31
291,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,419.38
292,James Quinn,USA,420.2
293,Knut Skaug Haraldsen,Norway,420.38
294,Sooho Lee (이수호),Korea,420.48
295,Weixing Zhang (张炜星),China,420.53
296,Tianze Xu (徐天泽),China,420.54
297,Zihan Zhang (张子涵),China,420.93
298,Noah Swor,USA,420.93
299,Luca Brasini,Italy,421.03
300,Louis Cormier,Canada,421.03
301,Michel Ye,France,421.06
302,Mantas Urbanavičius,Lithuania,421.1
303,Raphaël Pihet,France,421.17
304,Eva Kato,USA,421.55
305,Harry Savage,United Kingdom,421.72
306,Ilia Murmulyak,Russia,422.15
307,Alexander Bashutkin,Russia,422.15
308,Quan Trần Thanh Lương,Vietnam,422.27
309,Ben Baron,Israel,422.67
310,Joe Ewbank,United Kingdom,422.95
311,Kai-Lun Cheng (鄭凱倫),Taiwan,423.14
312,Louis Fertier,France,423.28
313,Nikolaus Lindinger,Austria,423.52
314,Michał Mlostek,Poland,424.12
315,Ernesto Gutiérrez Cuba,Peru,425.03
316,Muhammad Razin Bin Roslan,Malaysia,425.08
317,Jeffrey Li,USA,425.64
318,Zhiyuan Ma (马之元),China,425.76
319,Vishwa Sankar,USA,425.98
320,Weijie Fang (方伟杰),China,426.01
321,Ian Southa,USA,426.05
322,Jode Brewster,Australia,426.1
323,Kanting Shi (史勘霆),China,426.15
324,Kerry Creech,USA,426.62
325,Steven Kearns,United Kingdom,426.74
326,Niño Francis S. Reyes,Philippines,427.3
327,Valentin Hoffmann,France,427.35
328,Andrey Che,Russia,427.55
329,Étienne Aubry,France,427.61
330,Tobias Peter,Switzerland,427.65
331,Ricardo Sanchez Laurencio,Peru,428.18
332,Cyrus Wong Yuk Chi (黃昱誌),Hong Kong,428.23
333,Hau-Yu Huang (黃浩宇),Taiwan,428.29
334,Mok Man Kit (莫文傑),Hong Kong,428.47
335,Dhruv Suresh,India,428.9
336,Axel Uriel Sánchez Zúñiga,Mexico,429.35
337,Gabriel LaForte,USA,429.42
338,Giovanni Contardi,Italy,429.44
339,Ty Marshall,USA,429.45
340,Ganghui Lin (林刚辉),China,429.47
341,Hayden Ng,Australia,429.71
342,Tommy Kiprillis,Australia,429.98
343,Tim Wong,USA,429.99
344,Jhon Edinson Arias Parra,Colombia,430.25
345,Jesser Armando Ramírez Diaz,Guatemala,430.25
346,Jinyao Chen (陈今尧),China,430.39
347,Jinseo Hong,Korea,430.64
348,Erik Akkersdijk,Netherlands,430.72
349,Josias Milan Sirpa Pinto,Bolivia,431.16
350,Ruotong Wang (王若同),China,431.39
351,Eduardo Rafael Mendiola Rosas,Mexico,431.48
352,Vincenzo Maria Gammino,Italy,431.55
353,Kari Hyttinen,Finland,431.99
354,Heewon Seo,USA,432.11
355,Abraham Ismael Hernandez Sabido,Mexico,432.15
356,Juewei Hu (胡珏伟),China,432.26
357,Jonathan Esparaz,Canada,432.31
358,Shanfeng Tu (涂善锋),China,432.36
359,Shao-Heng Hung (洪紹恆),Taiwan,432.37
360,Jonathan Charlesworth,Australia,432.49
361,Xingkai Yin (尹星凯),China,432.7
362,Pietro Gasparetto,Italy,432.81
363,Ryan Minjun Cho,Canada,432.98
364,Owen Chester,USA,433.58
365,Oscar Nieto,Colombia,434.2
366,Ahmet Çınar Ablak,Turkey,434.33
367,Blake Thompson,USA,434.4
368,Inigo Miguel B. Palisoc,Philippines,434.66
369,Michael Andres Castillo Lemus,Colombia,434.78
370,Quan Nguyen,Australia,434.83
371,Robbie Villarica,Philippines,435.06
372,Zixi Yan (严子希),China,435.49
373,Daniel Guardado Cabral,Mexico,435.68
374,Alexandre Carlier,France,435.8
375,Jordan Mosakowski,USA,435.89
376,Kostiantyn Stadnyk (Костянтин Стадник),Ukraine,435.91
377,Zian Song (宋子安),China,435.99
378,Ekaterina Shutenko,Russia,436.0
379,Ryan Yasinko,Canada,436.15
380,Callum Hales-Jepp,United Kingdom,436.16
381,Teo Bin Jie (张斌杰),Singapore,436.34
382,Jacob Chambers,United Kingdom,436.79
383,Chan Ting Yan,Malaysia,436.79
384,Raymond Goslow,USA,436.89
385,Adrien Schumacker,Belgium,436.97
386,Nathan Dwyer,USA,437.01
387,Kevin Min,Korea,437.33
388,Luke Garrett,USA,437.33
389,Vinny Vecchio,USA,437.34
390,Aryan Chhabra,India,437.36
391,Milán Baticz,Hungary,437.58
392,Catherine Trace,USA,437.61
393,Achmad Rizki Zakaria,Indonesia,437.67
394,Toni Beljo,Croatia,437.87
395,Luigi Soriano,USA,438.12
396,Alexandru Ioan Popescu,Romania,438.18
397,José Antonio Navarro Sánchez,Spain,438.29
398,Joel Lundström,Sweden,438.97
399,Alexei Sinyavin,USA,439.36
400,Ray Bai,USA,439.46
401,Alevio Hamizan Ersha,Indonesia,439.6
402,Henry Lichner,USA,440.21
403,Rong Fan (樊榕),China,440.25
404,Enzo Mattos,Brazil,440.3
405,Yitao Hong (洪奕涛),China,440.34
406,Brandon Delacruz,USA,440.41
407,Aedan Bryant,USA,440.49
408,Elian Beguec,France,441.01
409,William Tao,Australia,441.13
410,Ying Lin (林颖),China,441.25
411,Tom Stanton-Barnett,New Zealand,441.34
412,Christian Angelo Araneta Naguio,Philippines,441.48
413,Sean Moran,United Kingdom,441.67
414,Constantin Lüske,Germany,441.78
415,Jong Hun Kim,Korea,441.81
416,Lev Golub (Лев Голуб),Ukraine,442.01
