Delegate,Scrambles,E[Moves],4 moves,5 moves,6 moves,7 moves,8 moves,9 moves,10 moves,11 moves
Jurgens Filiaggi,217,8.64,0,0,5,15,57,116,24,0
Ming Dao Ting,63,8.59,0,0,2,11,10,28,12,0
Carlos Ricardo Chin Dzul,217,8.83,0,0,0,6,64,107,40,0
Hikmət Mürsəlzadə,217,8.71,0,1,7,18,43,107,41,0
Dedi Darmawan,217,8.72,0,1,3,8,68,101,36,0
Saransh Grover,217,8.79,0,1,3,7,62,100,44,0
Jezer Castañares Macatiag,42,8.71,0,0,0,1,16,19,6,0
Hao Wang (王皓),252,8.77,0,0,3,12,63,135,39,0
Jay Benedict Alfaras,210,8.82,0,0,0,13,46,116,35,0
Yuji Suse (巣瀬雄史),301,8.83,0,0,4,15,67,157,58,0
Igor Aipkin,315,8.76,0,2,5,19,76,152,61,0
Cel Adriane Lalo,308,8.91,0,1,3,13,58,165,68,0
Tatsuya Tsukamoto (塚本達也),308,8.81,0,2,3,13,79,149,61,1
Gennaro Monetti,56,8.62,0,0,1,4,19,23,9,0
Gabriel Silva dos Santos,308,8.91,0,0,1,11,65,170,61,0
Angelo Zhang,308,8.72,0,1,5,21,73,161,46,1
Felipe Baldívio Freires,308,8.75,0,2,6,17,78,144,61,0
António Gomes,308,8.74,0,1,3,14,88,153,49,0
Soufiane Lakhlifi,56,8.79,0,0,1,2,16,26,11,0
Dimitris Passas,301,8.75,0,1,2,17,79,154,48,0
Noel Yzaguirre,301,8.76,0,1,4,20,73,147,56,0
Rafael Gregorio Martinez Paredes,301,8.8,0,1,4,15,70,156,55,0
Modest Podzolkin,63,8.62,0,0,1,2,21,35,4,0
Michael Conard,49,8.69,0,0,2,3,12,23,9,0
Juho Saarimaa,259,8.73,0,3,2,11,69,134,40,0
Slater Metz,294,8.76,0,0,5,19,70,147,53,0
Mason Langenderfer,49,8.88,0,0,0,3,10,26,10,0
Arash Maslehatjoo (آرش مصلحت جو),287,8.74,0,0,4,24,65,145,49,0
Aysha Jamsheer,287,8.78,0,3,2,21,54,157,49,1
Yuki Tanaka (田中悠樹),273,8.83,0,0,2,14,67,135,55,0
Riadi Arsandi,7,9.0,0,0,0,0,2,3,2,0
Zeus Miles Campilla,14,8.79,0,0,0,2,2,7,3,0
Ivan Vanek,49,8.73,0,1,1,2,9,29,7,0
Bogdan Grigoruţă,273,8.75,0,1,3,17,65,143,44,0
Chris Hardwick,259,8.81,0,1,5,13,52,142,45,1
Brent Boswell,259,8.82,0,1,1,16,52,144,45,0
Krzysztof Kuncki,259,8.77,0,0,2,19,53,147,38,0
Shaden Smith,259,8.77,0,1,6,14,58,131,49,0
Delphine Tran (Ngọc Phượng Vĩ Trần),98,8.83,0,0,0,5,24,52,17,0
