name,country,DNFs
Shane Grogan,USA,53
Sergey Chirin,Russia,53
Alexander Botz,Germany,53
Jason Bilgrei,USA,53
Rocío Fernández Usero,Spain,53
Sheldon Rego,India,53
Sofía Guerrero Neto,Spain,53
Darja Makurina,Latvia,53
Vincent Chan,Netherlands,53
Nicolas Lizarazo,Colombia,53
Bence Kovács,Hungary,53
Lucas Etter,USA,53
Aamir Saifee,India,53
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,53
Maximiliano Perez Madrid,Chile,53
Chunyu Zhang (张春雨),China,53
Eki González García,Spain,53
Priyanshu Kumar,India,53
Kevin Carrillo García,Colombia,53
Robin Deun,Netherlands,53
Zach Goldman,USA,53
David Breno,Brazil,53
Victor Sanchez Redondo,Spain,53
Monika Zimmermann,Germany,53
Mateusz Gil,Poland,53
Will Russo,USA,53
Pavel Yushkevich,Belarus,53
Liam Wadek,New Zealand,53
Kim Jokinen,Finland,52
Huy Dao,Germany,52
Thibaud Ou,France,52
Vladislav Pyatnitsa (Владислав Пятница),Belarus,52
Vishwa Sankar,USA,52
Aleksi Tuononen,Finland,52
Kamil Pawlak,Poland,52
Sinpei Araki (荒木慎平),Japan,52
Arifumi Fushimi (伏見有史),Japan,52
Genaro Sahib Leguizamon,Argentina,52
Cel Adriane Lalo,Philippines,52
Raymond Goslow,USA,52
Alejandro Riveiro Rodríguez,Spain,52
Stefan Huber,Austria,52
Adrian Estrada,Peru,52
Bernhard Brodowsky,Germany,52
Mok Mun Wai (莫滿懷),Hong Kong,52
Aleksandr Beznogov,Russia,52
Joris Mühlsteff,Netherlands,52
Aedan Bryant,USA,52
Anant Pingle,India,52
Caleb Clark,Australia,52
Julen Simón Iriarte,Spain,52
Tong Boonrod (ต๋อง บุญรอด),Thailand,52
Vincent Sheu,USA,52
Vivek Prasad Mada,India,52
Francisco Hamlin,Argentina,51
Ziyuan Lin (林子源),China,51
David Serban Enescu,Romania,51
Tim Schädel,Germany,51
Axel Flordal,Sweden,51
Derek Hsieh,USA,51
Olivier Polspoel,Belgium,51
James LaChance,USA,51
Elliott Yahya Sugondo,Indonesia,51
Stephen Adhisaputra,Indonesia,51
Loïc Petit,France,51
Christopher Connolly,Canada,51
Bruno Fonsêca Coelho Lima,Brazil,51
Benjamin Sintes,France,51
Kirill Litvinov,Russia,51
Vyacheslav Sizov,Russia,51
Arnav Arora,India,51
Andrea Javier,Australia,51
Fedor Abaev,Russia,51
Weixing Zhang (张炜星),China,51
Danila Dubovik,Belarus,51
Marcin Bloch,Poland,51
Dominik Fürer,Switzerland,51
Lovisa Eriksson,Sweden,51
Jaime Andrés Escobar Chan,Guatemala,51
