Yunrui Peng (彭云瑞),China,1084
Cameron Jones,United Kingdom,1084
Wang Ma (马旺),China,1084
Rhys Lloyd,Australia,1084
Luke Burong,Australia,1084
Niklas Aasen Eliasson,Norway,1084
Jeff Miao,China,1083
Mikołaj Morawski,Poland,1083
Lorenzo Mauro,Italy,1083
Junze Zhao (赵俊泽),China,1083
Eli Jacobsson,Australia,1083
Mete İsbir,Turkey,1082
Niklas Thomßen,Germany,1082
Xuyang Chen (陈徐洋),China,1082
Huixuan Shi (施慧轩),China,1082
Yusheng Du (杜宇生),China,1081
Jan Zych,Poland,1081
Max Walaszek,USA,1081
Szymon Malinowski,Poland,1081
Daniel Tidsey,United Kingdom,1080
Alwin Rölz,Switzerland,1080
Joshua Chau,Australia,1080
Daniel Gutierrez,USA,1079
Ekaterina Kaneva,Russia,1077
Chan Hui Tung (陳許瞳),Hong Kong,1077
Michael Alexander,Australia,1077
Zach Amiridis,Australia,1076
Alexandre Carlier,France,1076
Elias Malomgré,Belgium,1076
Andy Ma,China,1076
Zhijie Yin (尹智杰),China,1076
YuTan Pan,China,1075
Thomas Heiden,Austria,1075
Leeah Gard-Spaulding,Australia,1075
Erzhan Dzhaumutbaev,Russia,1075
Nicholas Daneshvari,USA,1075
Daniel Heberg Jørgensen,Denmark,1075
Kanting Shi (史勘霆),China,1074
Myles Segal,Australia,1074
David Pearce,Australia,1073
Chris Mills,United Kingdom,1073
Michael Nielsen,USA,1073
Haochen Mei (梅皓臣),China,1072
Leon Achata,Peru,1072
Yang Liu (刘洋),China,1072
Andy Denney,USA,1072
Piotr Tokarski,Poland,1072
Callum McArthur-Mortell,Finland,1072
Noah Muscat,Australia,1072
Timur Imanov,Russia,1071
Luigi Soriano,USA,1071
Simon Kalhofer,Germany,1070
Kyle Van Straaten,Canada,1070
Dominik Beese,Germany,1069
Andrew Tan Jing Bang,Singapore,1069
Bo Tang (唐搏),China,1069
Sean Vyner,Australia,1069
Igor Tarasov (Ігор Тарасов),Ukraine,1069
Marco Giordano,Italy,1068
Tom Stanton-Barnett,New Zealand,1068
Estevan Lujan,USA,1068
Arnau Tous Mateu,Spain,1067
Ashton Wheeler,Australia,1067
Wade Hawkins,USA,1067
Yuxuan Wu (吴雨轩),China,1067
Stian Nystad Østli,Norway,1067
Firstian Fushada (符逢城),Indonesia,1067
Stephen Waller,United Kingdom,1067
Vinz Navales,Australia,1067
Jakub Bartos,Poland,1067
Ram Thakkar,India,1067
Lazo Jalal,Australia,1067
Luqman Hakim Bin Hairil Azli,Malaysia,1066
Tyler Howlett,USA,1066
Michael Andres Castillo Lemus,Colombia,1066
Nathan Rahn,USA,1066
Radosław Opoka,Poland,1065
Cheng-Ying Lee (李承穎),Taiwan,1065
Liangyu Cai (蔡良语),China,1065
Xiaoyu Chen (陈校雨),China,1065
Jan Bentlage,Germany,1065
Henry Asker,United Kingdom,1065
Yijia Chen (陈奕佳),China,1065
Haichuan Du (杜海川),China,1064
Jacob Joshi,Australia,1064
Phillip Maxwell,Indonesia,1064
Waldemar Sundin,Sweden,1064
Ting Sheng Bao Yang,Spain,1064
Rick Hamburger,Netherlands,1063
Christopher Olson,USA,1063
Mikołaj Salamon,Poland,1063
Kangze Wang (王康泽),China,1063
Brian Nguyen,Australia,1062
Thomas Curnow,Australia,1062
Cole Campbell,New Zealand,1062
Dilan Anand,Australia,1061
Samuel Fang,USA,1061
Alexander Della-Spina,Australia,1061
Yuchen Wang (王雨辰),China,1061
Kymberlyn Calderon,USA,1061
Philipp Senser,Switzerland,1061
Catharina Nguyen,Denmark,1060
Zack Hall,Australia,1060
Benjamin Shurmer,Australia,1060
Francesco Schmitt,Germany,1059
Simon Geertsema,New Zealand,1059
Xinyang Li (李昕洋),China,1058
Nicolás Sánchez,USA,1058
Jay Calter,Australia,1058
Drew Brads,USA,1058
Pavel Mesyatsev,Russia,1058
Twan Dullemond,Netherlands,1057
Muhammad Saleh Imtiaz,Pakistan,1057
Joseph Williams,United Kingdom,1057
Adrien Auvray Matyn,New Zealand,1057
Cameron Stollery,Australia,1057
Wojciech Knott,Poland,1057
Juncheng Luo (罗骏承),China,1056
Toby Seufert,Australia,1056
Rémi Esturoune,France,1056
Hongyuan Fu (傅泓源),China,1056
Benjamín Ochoa,Peru,1056
Zayd Chaudhry,Australia,1055
Junliang Li (李俊良),China,1055
Jakub Tkaczyk,Poland,1054
Valerio Locatelli,Italy,1054
Tu Pham,Vietnam,1054
Luc Rehfeld,Germany,1053
Charlie van Ooran,Australia,1053
Igor Kolosov (Игорь Колосов),Russia,1053
Eric Pesci,USA,1053
Aolin Tang (唐奥林),China,1052
Trần Đăng Quang,Vietnam,1052
Adam Kędziorski,Poland,1052
Mingshi Zheng (郑铭师),China,1052
Bill Wang,Canada,1052
Marcus Siu,United Kingdom,1051
Simon Kellum,USA,1051
Wiktor Zegadło,Poland,1051
Ryan Driscoll,Australia,1051
Roberts Dreijers,Latvia,1050
Iurii Chesnokov (Юрий Чесноков),Russia,1050
Alex Maass,USA,1050
Eve Carroll,Australia,1050
Zac Graham,Australia,1050
Alex James,Australia,1049
Yuze Gu (顾雨泽),China,1049
Tomasz Pietruszka,Poland,1049
Jonathan O'Neill,Australia,1049
